timestamp: CODE VALUEBYTE(S)
1764233964.524: 80 02 D8 
1764233964.524: 80 03 37 
1764233964.524: 80 03 C1 
1764233964.524: 80 03 B1 
1764233964.524: 80 03 1E 
1764233964.524: 80 02 D6 
1764233964.524: 80 03 40 
1764233964.524: 80 03 CE 
1764233964.524: 80 03 B4 
1764233964.524: 80 02 FF 
1764233964.524: 80 02 87 
1764233964.524: 80 02 CC 
1764233964.524: 80 03 51 
1764233964.524: 80 03 45 
1764233964.524: 80 02 9E 
1764233964.524: 80 02 24 
1764233964.524: 80 02 60 
1764233964.524: 80 02 E2 
1764233964.524: 80 02 D1 
1764233964.524: 80 02 12 
1764233964.524: 80 01 6A 
1764233964.524: 80 01 7C 
1764233964.524: 80 01 F5 
1764233964.524: 80 01 FE 
1764233964.524: 80 01 5D 
1764233964.524: 80 00 C0 
1764233964.524: 80 00 CC 
1764233964.524: 80 01 41 
1764233964.524: 80 01 4E 
1764233964.524: 80 00 AB 
1764233964.524: 80 FF FA 
1764233964.524: 80 FF EE 
1764233964.524: 80 00 61 
1764233964.524: 80 00 86 
1764233964.524: 80 00 00 
1764233964.524: 80 FF 5A 
1764233964.524: 80 FF 4B 
1764233964.524: 80 FF B7 
1764233964.524: 80 FF D6 
1764233964.524: 80 FF 3E 
1764233964.524: 80 FE 7A 
1764233964.555: 80 FE 52 
1764233964.555: 80 FE C5 
1764233964.555: 80 FF 11 
1764233964.555: 80 FE B4 
1764233964.555: 80 FE 1D 
1764233964.555: 80 FE 10 
1764233964.555: 80 FE 94 
1764233964.555: 80 FE E2 
1764233964.555: 80 FE 6D 
1764233964.555: 80 FD A3 
1764233964.555: 80 FD 61 
1764233964.555: 80 FD D2 
1764233964.555: 80 FE 3F 
1764233964.555: 80 FE 07 
1764233964.555: 80 FD 75 
1764233964.555: 80 FD 58 
1764233964.555: 80 FD E3 
1764233964.555: 80 FE 66 
1764233964.555: 80 FE 36 
1764233964.555: 80 FD 96 
1764233964.555: 80 FD 5A 
1764233964.555: 80 FD CC 
1764233964.555: 80 FE 4B 
1764233964.555: 80 FE 23 
1764233964.555: 80 FD 86 
1764233964.555: 80 FD 47 
1764233964.555: 80 FD BA 
1764233964.555: 80 FE 41 
1764233964.555: 80 FE 1A 
1764233964.555: 80 FD 64 
1764233964.555: 80 FC FA 
1764233964.555: 80 FD 53 
1764233964.555: 80 FD EB 
1764233964.555: 80 FD F7 
1764233964.555: 80 FD 74 
1764233964.555: 80 FD 25 
1764233964.555: 80 FD 86 
1764233964.555: 80 FE 1D 
1764233964.555: 80 FE 22 
1764233964.555: 80 FD 87 
1764233964.555: 80 FD 15 
1764233964.555: 80 FD 5C 
1764233964.555: 80 FD FA 
1764233964.555: 80 FE 19 
1764233964.555: 80 FD 94 
1764233964.555: 80 FD 25 
1764233964.555: 80 FD 67 
1764233964.555: 80 FE 01 
1764233964.634: 80 FE 1A 
1764233964.634: 80 FD 7B 
1764233964.634: 80 FC E1 
1764233964.634: 80 FD 02 
1764233964.634: 80 FD A0 
1764233964.634: 80 FD DE 
1764233964.634: 80 FD 6C 
1764233964.634: 80 FC F0 
1764233964.634: 80 FD 21 
1764233964.634: 80 FD C7 
1764233964.634: 80 FE 04 
1764233964.634: 80 FD 79 
1764233964.634: 80 FC CF 
1764233964.634: 80 FC D6 
1764233964.634: 80 FD 78 
1764233964.634: 80 FD D7 
1764233964.634: 80 FD 7C 
1764233964.634: 80 FC F5 
1764233964.634: 80 FD 11 
1764233964.634: 80 FD C7 
1764233964.634: 80 FE 3C 
1764233964.634: 80 FD E7 
1764233964.634: 80 FD 49 
1764233964.634: 80 FD 40 
1764233964.634: 80 FD E0 
1764233964.634: 80 FE 5E 
1764233964.634: 80 FE 20 
1764233964.634: 80 FD 8D 
1764233964.634: 80 FD 7F 
1764233964.634: 80 FE 1C 
1764233964.634: 80 FE A1 
1764233964.634: 80 FE 64 
1764233964.634: 80 FD BF 
1764233964.634: 80 FD 97 
1764233964.634: 80 FE 32 
1764233964.634: 80 FE DC 
1764233964.634: 80 FE DC 
1764233964.634: 80 FE 69 
1764233964.634: 80 FE 58 
1764233964.634: 80 FE F3 
1764233964.634: 80 FF 92 
1764233964.634: 80 FF 76 
1764233964.634: 80 FE CC 
1764233964.634: 80 FE 73 
1764233964.634: 80 FE D7 
1764233964.634: 80 FF 67 
1764233964.634: 80 FF 64 
1764233964.822: 80 FE E1 
1764233964.822: 80 FE AA 
1764233964.822: 80 FF 24 
1764233964.822: 80 FF BF 
1764233964.822: 80 FF B3 
1764233964.822: 80 FF 10 
1764233964.822: 80 FE AD 
1764233964.822: 80 FF 0B 
1764233964.822: 80 FF AB 
1764233964.822: 80 FF BE 
1764233964.822: 80 FF 39 
1764233964.822: 80 FE E3 
1764233964.822: 80 FF 40 
1764233964.822: 80 FF DF 
1764233964.822: 80 FF EB 
1764233964.822: 80 FF 4B 
1764233964.822: 80 FE C7 
1764233964.822: 80 FE FE 
1764233964.822: 80 FF 96 
1764233964.822: 80 FF BB 
1764233964.822: 80 FF 41 
